platform,area,resource_type,category,description,severity_notes,config_location,cim_mapping,nist_800_53_au,windows_equivalent
Microsoft 365,Microsoft Purview Unified Audit Log,Exchange Online,ExchangeAggregatedOperation,"Aggregated mailbox access events, e.g. repeated item access within a short window.",Medium,Microsoft Purview compliance portal -> Audit -> search/export the unified audit log,,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,Exchange Online Protection,SecurityComplianceCenterEOPCmdlet,Exchange Online Protection PowerShell cmdlet usage run via the Security & Compliance Center.,Medium,Microsoft Purview compliance portal -> Audit -> search/export the unified audit log,,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,SharePoint Online / OneDrive,SharePointFileOperation,"File and folder operations in SharePoint Online and OneDrive -- view, download, upload, delete, move, and similar.",High volume,Microsoft Purview compliance portal -> Audit -> search/export the unified audit log,,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,SharePoint Online / OneDrive,SharePointSharingOperation,"File and folder external/internal sharing operations, including anonymous link creation.",Critical,Microsoft Purview compliance portal -> Audit -> search/export the unified audit log,,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,SharePoint Online / OneDrive,SharePointListOperation,SharePoint list-level operations.,Medium,Microsoft Purview compliance portal -> Audit -> search/export the unified audit log,,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,Microsoft Teams,MicrosoftTeams,"Teams user activity -- messages, meetings, calls, channel membership changes.",High volume,Microsoft Purview compliance portal -> Audit -> search/export the unified audit log,,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,Microsoft Teams,MicrosoftTeamsAdmin,Teams admin center configuration changes.,High,Microsoft Purview compliance portal -> Audit -> search/export the unified audit log,Change,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,Microsoft Teams,MicrosoftTeamsDevice,Teams Rooms and Teams device management events.,Medium,Microsoft Purview compliance portal -> Audit -> search/export the unified audit log,,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,Power Platform,MicrosoftFlow,"Power Automate (Flow) creation, modification, and run activity.",Medium,Microsoft Purview compliance portal -> Audit -> search/export the unified audit log,,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,Power Platform,PowerAppsApp,"Power Apps creation, modification, and sharing activity.",Medium,Microsoft Purview compliance portal -> Audit -> search/export the unified audit log,,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,Data Loss Prevention,ComplianceDLPSharePoint,DLP policy matches on content in SharePoint Online and OneDrive.,High,Microsoft Purview compliance portal -> Audit -> search/export the unified audit log,DLP,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,Data Loss Prevention,ComplianceDLPExchange,DLP policy matches on content in Exchange Online (mail and attachments).,High,Microsoft Purview compliance portal -> Audit -> search/export the unified audit log,DLP,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,Data Loss Prevention,DLPEndpoint,"Endpoint DLP policy matches on managed devices (copy to USB, print, cloud upload, and similar).",High,Microsoft Purview compliance portal -> Audit -> search/export the unified audit log,DLP,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,Microsoft Defender for Office 365,ThreatIntelligence,"Threat detections against email and collaboration content (phishing, malware).",Critical,Microsoft Purview compliance portal -> Audit -> search/export the unified audit log,Malware.Malware_Attacks,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,Microsoft Defender for Office 365,ThreatFinder,Threat hunting and investigation query activity.,Medium,Microsoft Purview compliance portal -> Audit -> search/export the unified audit log,,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,Microsoft Defender for Office 365,AirInvestigation,Automated Investigation and Response (AIR) actions taken in response to a detected threat.,High,Microsoft Purview compliance portal -> Audit -> search/export the unified audit log,Malware.Malware_Attacks,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,Microsoft Defender for Endpoint,MDATPAudit,Microsoft Defender for Endpoint's own admin/configuration audit trail.,Medium,Microsoft Purview compliance portal -> Audit -> search/export the unified audit log,Malware.Malware_Operations,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,Communication Compliance,ComplianceSupervisionExchange,Communication Compliance (Supervision) review activity over Exchange content.,Medium,Microsoft Purview compliance portal -> Audit -> search/export the unified audit log,,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,Information Barriers,InformationBarrierPolicyApplication,Information barrier policy evaluation events between segmented user groups.,Medium,Microsoft Purview compliance portal -> Audit -> search/export the unified audit log,,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,Microsoft Forms,MicrosoftForms,"Forms creation, modification, and response activity.",Low,Microsoft Purview compliance portal -> Audit -> search/export the unified audit log,,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,Viva Engage (Yammer),Yammer,Viva Engage (Yammer) posting and administration activity.,Low,Microsoft Purview compliance portal -> Audit -> search/export the unified audit log,,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,Microsoft Purview,CustomerKeyServiceEncryption,Customer Key encryption/decryption operations against Microsoft 365 content.,Medium,Microsoft Purview compliance portal -> Audit -> search/export the unified audit log,,"AU-2, AU-3, AU-12",
Microsoft Defender,Microsoft Defender for Cloud,Subscription / Tenant,SecurityAlerts,Security alerts generated by Defender for Cloud across monitored resources.,Critical - via Continuous Export or Connector,Microsoft Defender for Cloud -> Environment settings -> Continuous export,Alerts,"AU-2, AU-3, AU-12",
Microsoft Defender,Microsoft Defender for Cloud,Subscription / Tenant,SecurityRecommendations,Security posture recommendations from Defender for Cloud.,High - via Continuous Export,Microsoft Defender for Cloud -> Environment settings -> Continuous export,,"AU-2, AU-3, AU-12",
Microsoft Defender,Microsoft Defender for Cloud,Subscription / Tenant,SecureScore,Secure Score posture data.,Medium,Microsoft Defender for Cloud -> Environment settings -> Continuous export,,"AU-2, AU-3, AU-12",
Microsoft Defender,Microsoft Defender for Cloud,Subscription / Tenant,RegulatoryCompliance,Regulatory compliance assessment results.,Medium,Microsoft Defender for Cloud -> Environment settings -> Continuous export,,"AU-2, AU-3, AU-12",
Microsoft Defender,Microsoft Defender for Cloud,Subscription / Tenant,SubAssessments,Sub-assessment / vulnerability scan data.,High,Microsoft Defender for Cloud -> Environment settings -> Continuous export,,"AU-2, AU-3, AU-12",
Microsoft Defender,Microsoft Defender for Cloud,Subscription / Tenant,SecurityAssessments,Security assessment results.,High,Microsoft Defender for Cloud -> Environment settings -> Continuous export,,"AU-2, AU-3, AU-12",
Microsoft Defender,Microsoft Defender for Endpoint,Devices,DeviceEvents,General endpoint security events that do not fit a more specific device table.,Critical - via MDE advanced hunting / Data connector,Microsoft Defender XDR / Microsoft Sentinel data connectors,,"AU-2, AU-3, AU-12",
Microsoft Defender,Microsoft Defender for Endpoint,Devices,DeviceProcessEvents,Process creation events on onboarded devices.,Critical - via MDE advanced hunting / Data connector,Microsoft Defender XDR / Microsoft Sentinel data connectors,Endpoint.Processes,"AU-2, AU-3, AU-12",4688
Microsoft Defender,Microsoft Defender for Endpoint,Devices,DeviceNetworkEvents,Network connection events on onboarded devices.,Critical - via MDE advanced hunting / Data connector,Microsoft Defender XDR / Microsoft Sentinel data connectors,Network_Traffic,"AU-2, AU-3, AU-12",
Microsoft Defender,Microsoft Defender for Endpoint,Devices,DeviceFileEvents,"File creation, modification, and deletion events on onboarded devices.",Critical - via MDE advanced hunting / Data connector,Microsoft Defender XDR / Microsoft Sentinel data connectors,Endpoint.Filesystem,"AU-2, AU-3, AU-12",
Microsoft Defender,Microsoft Defender for Endpoint,Devices,DeviceLogonEvents,Logon events on onboarded devices.,Critical - via MDE advanced hunting / Data connector,Microsoft Defender XDR / Microsoft Sentinel data connectors,Authentication,"AU-2, AU-3, AU-12",4624
Microsoft Defender,Microsoft Defender for Endpoint,Devices,DeviceRegistryEvents,Registry key and value create/modify/delete events on onboarded devices.,Critical - via MDE advanced hunting / Data connector,Microsoft Defender XDR / Microsoft Sentinel data connectors,Endpoint.Registry,"AU-2, AU-3, AU-12",4657
Microsoft Defender,Microsoft Defender for Endpoint,Devices,DeviceImageLoadEvents,DLL / image load events on onboarded devices.,Critical - via MDE advanced hunting / Data connector,Microsoft Defender XDR / Microsoft Sentinel data connectors,,"AU-2, AU-3, AU-12",
Microsoft Defender,Microsoft Defender for Identity,Identity,IdentityLogonEvents,Authentication events observed by Defender for Identity sensors on domain controllers and AD FS/AD CS servers.,High,Microsoft Defender XDR / Microsoft Sentinel data connectors,Authentication,"AU-2, AU-3, AU-12",4624
Microsoft Defender,Microsoft Defender for Identity,Identity,IdentityQueryEvents,Directory query events (e.g. LDAP queries) observed by Defender for Identity sensors.,High,Microsoft Defender XDR / Microsoft Sentinel data connectors,,"AU-2, AU-3, AU-12",
Microsoft Defender,Microsoft Defender for Identity,Identity,IdentityDirectoryEvents,Broader Active Directory operations observed by Defender for Identity sensors.,High,Microsoft Defender XDR / Microsoft Sentinel data connectors,,"AU-2, AU-3, AU-12",
Microsoft Defender,Microsoft Defender for Cloud Apps,SaaS / Cloud Apps,CloudAppEvents,Cloud application activity and alerts across connected SaaS apps.,High,Microsoft Defender XDR / Microsoft Sentinel data connectors,,"AU-2, AU-3, AU-12",
Microsoft Defender,Microsoft Defender for Office 365,Email / Collaboration,EmailEvents,Mail flow and delivery events.,High,Microsoft Defender XDR / Microsoft Sentinel data connectors,,"AU-2, AU-3, AU-12",
Microsoft Defender,Microsoft Defender for Office 365,Email / Collaboration,EmailUrlInfo,URL metadata extracted from email messages.,High,Microsoft Defender XDR / Microsoft Sentinel data connectors,,"AU-2, AU-3, AU-12",
Microsoft Defender,Microsoft Defender for Office 365,Email / Collaboration,EmailAttachmentInfo,Attachment metadata extracted from email messages.,High,Microsoft Defender XDR / Microsoft Sentinel data connectors,,"AU-2, AU-3, AU-12",
Microsoft Defender,Microsoft Defender for Office 365,Email / Collaboration,UrlClickEvents,Safe Links URL click verdicts -- whether a clicked link was allowed or blocked as malicious.,High,Microsoft Defender XDR / Microsoft Sentinel data connectors,Malware.Malware_Attacks,"AU-2, AU-3, AU-12",
Microsoft Defender,Microsoft Defender,General,AlertEvidence,"Supporting evidence entities (files, processes, IPs, etc.) attached to Defender XDR alerts.",Critical,Microsoft Sentinel / Microsoft Defender XDR,,"AU-2, AU-3, AU-12",
Microsoft Defender,Microsoft Defender,General,AlertInfo,The master alert record across all Microsoft Defender XDR products.,Critical,Microsoft Sentinel / Microsoft Defender XDR,Alerts,"AU-2, AU-3, AU-12",
Azure DevOps,Organization,Organization,AzureDevOpsAuditing,"Full Azure DevOps organization audit log: security policy changes, pipeline changes, project/permission changes, and more, streamed as individual audit events.",Critical,Azure DevOps -> Organization Settings -> Auditing -> Streams (to Log Analytics / Event Hub / Splunk),Change,"AU-2, AU-3, AU-12",
Azure DevOps,Organization,Organization,Audit event taxonomy (Category x Area),"Every AzureDevOpsAuditing event carries an action Category (Access / Create / Delete / Execute / Modify / Rename) and a product Area (Security / Project / Git / Pipelines / Artifacts / etc.) -- not a separate log stream, but the two fields most audit queries filter on.",High,Azure DevOps Auditing,,"AU-2, AU-3, AU-12",
Azure DevOps,Pipelines,Pipeline Runs,Pipeline / agent / worker diagnostic logs,"Verbose pipeline execution, agent, and worker diagnostic logs, enabled per-run via system.debug=true. Not audit data -- troubleshooting detail for a specific pipeline run.",High (enable system.debug),Pipeline settings or variable system.debug=true,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.DevOpsInfrastructure/pools,ProvisioningLogs,Agent provisioning events for Managed DevOps Pools (self-hosted Azure DevOps/GitHub Actions build agent pools).,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.DevOpsInfrastructure/pools,AllMetrics,Platform metrics for Managed DevOps Pools.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,Power BI,PowerBIAudit,"Power BI activity: report views, dataset/dataflow creation and refresh, workspace access changes, sharing.",High,Microsoft Purview compliance portal -> Audit / Power BI Admin portal -> Audit logs,,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,Dynamics 365 / Dataverse,Dynamics365Activity,"Dynamics 365 customer engagement and Dataverse audit activity (record create/update/delete, security role changes).",High,Microsoft Purview compliance portal -> Audit / Dynamics 365 admin center,,"AU-2, AU-3, AU-12",
Microsoft 365,Microsoft Purview Unified Audit Log,Microsoft Fabric,Fabric workspace & item activity,"Microsoft Fabric workspace and item activity (dataset/report/notebook create-update-delete, workspace access changes), surfaced through Purview auditing.",Medium,Microsoft Purview compliance portal -> Audit / Microsoft Fabric Admin portal,,"AU-2, AU-3, AU-12",
GitHub,Organization / Enterprise,Audit Log,GitHub Audit Log,"GitHub organization and enterprise audit events: repo/team/permission changes, SSO and access-token activity, admin actions.",Critical - via Audit Log Streaming,GitHub Enterprise -> Settings -> Audit log -> Log streaming (to Azure / Splunk / etc.),Change,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.DesktopVirtualization/hostpools,Checkpoint,AVD host pool session-lifecycle checkpoint events.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.DesktopVirtualization/hostpools,Error,AVD host pool error events.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.DesktopVirtualization/hostpools,Management,AVD host pool management-plane operations (create/update/delete on the host pool and its session hosts).,High,Resource -> Monitoring -> Diagnostic settings,Change,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.DesktopVirtualization/hostpools,Connection,AVD host pool session connect/reconnect/disconnect events.,High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.DesktopVirtualization/hostpools,HostRegistration,AVD host pool session-host registration/deregistration events.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.DesktopVirtualization/workspaces,Management,AVD workspace management-plane operations.,Medium,Resource -> Monitoring -> Diagnostic settings,Change,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.DesktopVirtualization/workspaces,Feed,AVD workspace feed (application/desktop feed subscription) events.,Low,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.DesktopVirtualization/applicationgroups,Management,AVD application group management-plane operations.,Medium,Resource -> Monitoring -> Diagnostic settings,Change,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.DesktopVirtualization/applicationgroups,Feed,AVD application group feed events.,Low,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Cdn/profiles,FrontDoorAccessLog,"Every request handled by Azure Front Door Standard/Premium (client IP, URL, response code, latency, cache status).",High volume / Critical,Resource -> Monitoring -> Diagnostic settings,Network_Traffic,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Cdn/profiles,FrontDoorHealthProbeLog,Backend health-probe results for Front Door origins.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Cdn/profiles,FrontDoorWebApplicationFirewallLog,WAF rule matches/blocks for requests through this Front Door profile.,Critical,Resource -> Monitoring -> Diagnostic settings,Alerts,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Network/frontdoorWebApplicationFirewallPolicies,WebApplicationFirewallLog,WAF rule hit and block logs for a Front Door WAF policy resource (independent of the Front Door profile's own WAF log).,Critical,Resource -> Monitoring -> Diagnostic settings,Alerts,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Purview/accounts,ScanStatusLogEvent / DataSensitivityLogEvent / Security / Audit,"Purview account resource logs: data-source scan status/results, data sensitivity-label scan findings, and account-level security/audit events. Distinct from the Microsoft 365 Purview Unified Audit Log above -- this is the Purview *account's own* ARM diagnostic-setting stream.",High,Resource -> Monitoring -> Diagnostic settings + Microsoft Purview portal,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.HybridCompute/machines,HybridCompute / GuestConfiguration / Extension logs,"Azure Arc-enabled server logs: connectivity status, guest configuration policy evaluation, and VM extension install/run events.",High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Kubernetes/connectedClusters,Arc Kubernetes logs,"Logs for Arc-enabled Kubernetes clusters (cluster connect/agent status, extension activity).",High,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.AzureArcData,SQL / PostgreSQL Arc data services logs,Logs for Arc-enabled SQL Server and PostgreSQL data services instances.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Microsoft Intune,Tenant,Tenant,DeviceCompliance / DeviceConfiguration / ManagedDevice / AppProtection,"Intune device compliance results, configuration profile assignment/status, managed-device inventory changes, and app protection policy events.",High,Microsoft Intune admin center -> Tenant administration -> Diagnostic settings / or Microsoft Graph activity logs,,"AU-2, AU-3, AU-12",
Microsoft Intune,Windows 365,Cloud PCs,CloudPC / Provisioning / Connection logs,"Windows 365 Cloud PC provisioning and connection activity, managed through Intune.",Medium,Microsoft Intune admin center / Windows 365 portal,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Communication/CommunicationServices,Operational / Auth / Chat / Calling / SMS / Email,"Azure Communication Services operational and per-channel logs (auth token issuance, chat, calling, SMS, email).",Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.CognitiveServices/accounts,RequestResponse,Request/response logs for Cognitive Services and Azure OpenAI calls against this account.,Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.CognitiveServices/accounts,Audit,Administrative/audit events for the Cognitive Services / Azure OpenAI account.,High,Resource -> Monitoring -> Diagnostic settings,Change,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.Maps/accounts,Usage / Error logs,Azure Maps API usage and error logs for this account.,Low-Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
Azure,Azure Resource Logs,Microsoft.AzureStackHCI/clusters,Cluster logs / Event logs,"Azure Stack HCI (Azure Local) cluster health and Windows Server cluster event logs, surfaced through Azure Arc.",Medium,Resource -> Monitoring -> Diagnostic settings,,"AU-2, AU-3, AU-12",
